sku_id,horizon,week_start_date,actual_demand,forecast_demand,source_model
FOODS_1_001_CA_1,1,damped_trend_exponential_smoothing,2.0,4.66996675900364,damped_trend_exponential_smoothing
FOODS_1_001_CA_1,2,damped_trend_exponential_smoothing,4.0,4.66996675900364,damped_trend_exponential_smoothing
FOODS_1_001_CA_1,3,damped_trend_exponential_smoothing,8.0,4.66996675900364,damped_trend_exponential_smoothing
FOODS_1_001_CA_1,4,damped_trend_exponential_smoothing,9.0,4.66996675900364,damped_trend_exponential_smoothing
FOODS_1_001_CA_1,5,damped_trend_exponential_smoothing,9.0,4.66996675900364,damped_trend_exponential_smoothing
FOODS_1_001_CA_1,6,damped_trend_exponential_smoothing,9.0,4.66996675900364,damped_trend_exponential_smoothing
FOODS_1_001_CA_1,7,damped_trend_exponential_smoothing,6.0,4.66996675900364,damped_trend_exponential_smoothing
FOODS_1_001_CA_1,8,damped_trend_exponential_smoothing,9.0,4.66996675900364,damped_trend_exponential_smoothing
FOODS_1_001_CA_2,1,damped_trend_exponential_smoothing,5.0,8.667426926608359,damped_trend_exponential_smoothing
FOODS_1_001_CA_2,2,damped_trend_exponential_smoothing,10.0,8.661121092820474,damped_trend_exponential_smoothing
FOODS_1_001_CA_2,3,damped_trend_exponential_smoothing,7.0,8.654884250981645,damped_trend_exponential_smoothing
FOODS_1_001_CA_2,4,damped_trend_exponential_smoothing,3.0,8.64871564625291,damped_trend_exponential_smoothing
FOODS_1_001_CA_2,5,damped_trend_exponential_smoothing,3.0,8.64261453205398,damped_trend_exponential_smoothing
FOODS_1_001_CA_2,6,damped_trend_exponential_smoothing,4.0,8.636580169972873,damped_trend_exponential_smoothing
FOODS_1_001_CA_2,7,damped_trend_exponential_smoothing,3.0,8.63061182967656,damped_trend_exponential_smoothing
FOODS_1_001_CA_2,8,damped_trend_exponential_smoothing,20.0,8.624708788822563,damped_trend_exponential_smoothing
FOODS_1_001_CA_3,1,damped_trend_exponential_smoothing,14.0,6.358805302341636,damped_trend_exponential_smoothing
FOODS_1_001_CA_3,2,damped_trend_exponential_smoothing,2.0,6.357277056675192,damped_trend_exponential_smoothing
FOODS_1_001_CA_3,3,damped_trend_exponential_smoothing,3.0,6.355783712190865,damped_trend_exponential_smoothing
FOODS_1_001_CA_3,4,damped_trend_exponential_smoothing,11.0,6.354324471835841,damped_trend_exponential_smoothing
FOODS_1_001_CA_3,5,damped_trend_exponential_smoothing,13.0,6.3528985567599285,damped_trend_exponential_smoothing
FOODS_1_001_CA_3,6,damped_trend_exponential_smoothing,2.0,6.351505205899864,damped_trend_exponential_smoothing
FOODS_1_001_CA_3,7,damped_trend_exponential_smoothing,7.0,6.3501436755731016,damped_trend_exponential_smoothing
FOODS_1_001_CA_3,8,damped_trend_exponential_smoothing,13.0,6.348813239080883,damped_trend_exponential_smoothing
FOODS_1_001_CA_4,1,damped_trend_exponential_smoothing,1.0,0.8232071471038788,damped_trend_exponential_smoothing
FOODS_1_001_CA_4,2,damped_trend_exponential_smoothing,7.0,0.8232071471038788,damped_trend_exponential_smoothing
FOODS_1_001_CA_4,3,damped_trend_exponential_smoothing,2.0,0.8232071471038788,damped_trend_exponential_smoothing
FOODS_1_001_CA_4,4,damped_trend_exponential_smoothing,3.0,0.8232071471038788,damped_trend_exponential_smoothing
FOODS_1_001_CA_4,5,damped_trend_exponential_smoothing,3.0,0.8232071471038788,damped_trend_exponential_smoothing
FOODS_1_001_CA_4,6,damped_trend_exponential_smoothing,2.0,0.8232071471038788,damped_trend_exponential_smoothing
FOODS_1_001_CA_4,7,damped_trend_exponential_smoothing,0.0,0.8232071471038788,damped_trend_exponential_smoothing
FOODS_1_001_CA_4,8,damped_trend_exponential_smoothing,3.0,0.8232071471038788,damped_trend_exponential_smoothing
FOODS_1_001_TX_1,1,damped_trend_exponential_smoothing,0.0,4.710731485543308,damped_trend_exponential_smoothing
FOODS_1_001_TX_1,2,damped_trend_exponential_smoothing,5.0,4.708270463831027,damped_trend_exponential_smoothing
FOODS_1_001_TX_1,3,damped_trend_exponential_smoothing,5.0,4.706243804401824,damped_trend_exponential_smoothing
FOODS_1_001_TX_1,4,damped_trend_exponential_smoothing,7.0,4.704574843733384,damped_trend_exponential_smoothing
FOODS_1_001_TX_1,5,damped_trend_exponential_smoothing,0.0,4.703200449164337,damped_trend_exponential_smoothing
FOODS_1_001_TX_1,6,damped_trend_exponential_smoothing,1.0,4.702068630741564,damped_trend_exponential_smoothing
FOODS_1_001_TX_1,7,damped_trend_exponential_smoothing,0.0,4.701136574568629,damped_trend_exponential_smoothing
FOODS_1_001_TX_1,8,damped_trend_exponential_smoothing,0.0,4.700369023261788,damped_trend_exponential_smoothing
FOODS_1_001_TX_2,1,damped_trend_exponential_smoothing,9.0,4.076992508454783,damped_trend_exponential_smoothing
FOODS_1_001_TX_2,2,damped_trend_exponential_smoothing,3.0,4.076042109425279,damped_trend_exponential_smoothing
FOODS_1_001_TX_2,3,damped_trend_exponential_smoothing,3.0,4.0751123711226,damped_trend_exponential_smoothing
FOODS_1_001_TX_2,4,damped_trend_exponential_smoothing,3.0,4.074202844403157,damped_trend_exponential_smoothing
FOODS_1_001_TX_2,5,damped_trend_exponential_smoothing,4.0,4.073313089887291,damped_trend_exponential_smoothing
FOODS_1_001_TX_2,6,damped_trend_exponential_smoothing,1.0,4.072442677747021,damped_trend_exponential_smoothing
FOODS_1_001_TX_2,7,damped_trend_exponential_smoothing,5.0,4.071591187498397,damped_trend_exponential_smoothing
FOODS_1_001_TX_2,8,damped_trend_exponential_smoothing,1.0,4.070758207798369,damped_trend_exponential_smoothing
FOODS_1_001_TX_3,1,damped_trend_exponential_smoothing,1.0,2.730454866255457,damped_trend_exponential_smoothing
FOODS_1_001_TX_3,2,damped_trend_exponential_smoothing,5.0,2.730454866255457,damped_trend_exponential_smoothing
FOODS_1_001_TX_3,3,damped_trend_exponential_smoothing,1.0,2.730454866255457,damped_trend_exponential_smoothing
