sku_id,week_start_date,horizon,predicted_demand,weekly_units_sold
FOODS_1_001_CA_1,2016-02-27,1,4.880634533174241,2
FOODS_1_001_CA_2,2016-02-27,1,7.989060836483913,5
FOODS_1_001_CA_3,2016-02-27,1,8.527767463173392,14
FOODS_1_001_CA_4,2016-02-27,1,0.44540947943943165,1
FOODS_1_001_TX_1,2016-02-27,1,3.8856214183491926,0
FOODS_1_001_TX_2,2016-02-27,1,5.128026873998019,9
FOODS_1_001_TX_3,2016-02-27,1,2.834888259875853,1
FOODS_1_001_WI_1,2016-02-27,1,3.9276641760889466,1
FOODS_1_001_WI_2,2016-02-27,1,2.3072877748886294,0
FOODS_1_001_WI_3,2016-02-27,1,1.4882303244238226,3
FOODS_1_002_CA_1,2016-02-27,1,2.460144826006681,1
FOODS_1_002_CA_2,2016-02-27,1,5.212059109867398,11
FOODS_1_002_CA_3,2016-02-27,1,0.6496498721275736,3
FOODS_1_002_CA_4,2016-02-27,1,3.1518831264032956,2
FOODS_1_002_TX_1,2016-02-27,1,1.6572102540492986,0
FOODS_1_002_TX_2,2016-02-27,1,1.3724023432560806,1
FOODS_1_002_TX_3,2016-02-27,1,2.177870134230899,4
FOODS_1_002_WI_1,2016-02-27,1,7.709602390266087,5
FOODS_1_002_WI_2,2016-02-27,1,3.932547293397899,6
FOODS_1_002_WI_3,2016-02-27,1,1.1279681285355077,1
FOODS_1_003_CA_1,2016-02-27,1,5.15249305633096,6
FOODS_1_003_CA_2,2016-02-27,1,7.200685181505055,6
FOODS_1_003_CA_3,2016-02-27,1,4.841855444428864,7
FOODS_1_003_CA_4,2016-02-27,1,1.8541042125057643,3
FOODS_1_003_TX_1,2016-02-27,1,1.7285962998422884,7
FOODS_1_003_TX_2,2016-02-27,1,2.0570206112843192,4
FOODS_1_003_TX_3,2016-02-27,1,1.51425706490294,0
FOODS_1_003_WI_1,2016-02-27,1,7.922435655479084,12
FOODS_1_003_WI_2,2016-02-27,1,0.2900967565907012,2
FOODS_1_003_WI_3,2016-02-27,1,1.7967153471443527,0
FOODS_1_004_CA_1,2016-02-27,1,15.809020954051357,0
FOODS_1_004_CA_2,2016-02-27,1,5.560582398093603,0
FOODS_1_004_CA_3,2016-02-27,1,2.8804007059940875,5
FOODS_1_004_CA_4,2016-02-27,1,2.584172946286815,0
FOODS_1_004_TX_1,2016-02-27,1,13.646220074274929,0
FOODS_1_004_TX_2,2016-02-27,1,4.439391121212632,0
FOODS_1_004_TX_3,2016-02-27,1,4.042990732739928,0
FOODS_1_004_WI_1,2016-02-27,1,3.1249496914761883,0
FOODS_1_004_WI_2,2016-02-27,1,23.137705121173948,0
FOODS_1_004_WI_3,2016-02-27,1,8.598174487348432,0
FOODS_1_005_CA_1,2016-02-27,1,10.842632549785206,5
FOODS_1_005_CA_2,2016-02-27,1,24.445568110752266,8
FOODS_1_005_CA_3,2016-02-27,1,20.267837190029734,19
FOODS_1_005_CA_4,2016-02-27,1,3.721519701786063,1
FOODS_1_005_TX_1,2016-02-27,1,4.813652749282574,4
FOODS_1_005_TX_2,2016-02-27,1,8.32619223632459,2
FOODS_1_005_TX_3,2016-02-27,1,7.454891149930941,5
FOODS_1_005_WI_1,2016-02-27,1,18.18347971220985,21
FOODS_1_005_WI_2,2016-02-27,1,21.91709449010646,19
FOODS_1_005_WI_3,2016-02-27,1,11.941139872369895,11
FOODS_1_006_CA_1,2016-02-27,1,13.199749403197666,13
FOODS_1_006_CA_2,2016-02-27,1,6.196265089799509,13
FOODS_1_006_CA_3,2016-02-27,1,10.810960661172064,12
FOODS_1_006_CA_4,2016-02-27,1,10.359989668181445,9
FOODS_1_006_TX_1,2016-02-27,1,4.427648066593427,5
FOODS_1_006_TX_2,2016-02-27,1,4.438899529717236,3
FOODS_1_006_TX_3,2016-02-27,1,9.82386028115102,0
FOODS_1_006_WI_1,2016-02-27,1,10.807984007873122,16
FOODS_1_006_WI_2,2016-02-27,1,7.6936548569192045,14
FOODS_1_006_WI_3,2016-02-27,1,7.620749453057906,5
FOODS_1_008_CA_1,2016-02-27,1,2.892906975445115,3
FOODS_1_008_CA_2,2016-02-27,1,1.9185760896558768,0
FOODS_1_008_CA_3,2016-02-27,1,1.4533992830440468,0
FOODS_1_008_CA_4,2016-02-27,1,1.8085074080916395,4
FOODS_1_008_TX_1,2016-02-27,1,1.426048016591427,5
FOODS_1_008_TX_2,2016-02-27,1,1.110454149326181,4
FOODS_1_008_TX_3,2016-02-27,1,1.4396697494686048,1
FOODS_1_008_WI_1,2016-02-27,1,3.106122684954145,4
FOODS_1_008_WI_2,2016-02-27,1,2.9068937552093477,2
FOODS_1_008_WI_3,2016-02-27,1,1.1666034816742328,0
FOODS_1_009_CA_1,2016-02-27,1,3.2962766343609653,0
FOODS_1_009_CA_2,2016-02-27,1,1.4597021286226175,0
FOODS_1_009_CA_3,2016-02-27,1,4.292580686380723,1
FOODS_1_009_CA_4,2016-02-27,1,1.304856353985205,0
FOODS_1_009_TX_1,2016-02-27,1,0.7384320681493366,0
FOODS_1_009_TX_2,2016-02-27,1,1.0576850082500662,0
FOODS_1_009_TX_3,2016-02-27,1,0.6795845261400457,0
FOODS_1_009_WI_1,2016-02-27,1,1.160219126960704,0
FOODS_1_009_WI_2,2016-02-27,1,1.3925237412850018,0
FOODS_1_009_WI_3,2016-02-27,1,0.7245750403603824,0
FOODS_1_010_CA_1,2016-02-27,1,1.0002495828542883,0
FOODS_1_010_CA_2,2016-02-27,1,3.2042366050947977,7
FOODS_1_010_CA_3,2016-02-27,1,3.5149152695406793,3
FOODS_1_010_CA_4,2016-02-27,1,0.3454676641924723,0
FOODS_1_010_TX_1,2016-02-27,1,2.369985885047113,0
FOODS_1_010_TX_2,2016-02-27,1,5.939864691299508,3
FOODS_1_010_TX_3,2016-02-27,1,5.915343332304732,6
FOODS_1_010_WI_1,2016-02-27,1,8.245144502189376,5
FOODS_1_010_WI_2,2016-02-27,1,2.498849278246367,1
FOODS_1_010_WI_3,2016-02-27,1,5.668734449211801,9
FOODS_1_011_CA_1,2016-02-27,1,8.34995191064596,5
FOODS_1_011_CA_2,2016-02-27,1,14.949091194516651,30
FOODS_1_011_CA_3,2016-02-27,1,7.799071531302946,21
FOODS_1_011_CA_4,2016-02-27,1,6.630194726893396,12
FOODS_1_011_TX_1,2016-02-27,1,4.824201497406642,4
FOODS_1_011_TX_2,2016-02-27,1,3.4571780431383266,2
FOODS_1_011_TX_3,2016-02-27,1,2.084298214743187,3
FOODS_1_011_WI_1,2016-02-27,1,6.141983039912945,9
FOODS_1_011_WI_2,2016-02-27,1,4.613227840186479,3
FOODS_1_011_WI_3,2016-02-27,1,3.116541755892879,2
HOBBIES_1_001_CA_1,2016-02-27,1,5.235400465754302,10
HOBBIES_1_001_CA_2,2016-02-27,1,3.99152392294931,6
HOBBIES_1_001_CA_3,2016-02-27,1,5.767672495160654,6
HOBBIES_1_001_CA_4,2016-02-27,1,5.065267779566352,8
HOBBIES_1_001_TX_1,2016-02-27,1,2.1929072233780884,2
HOBBIES_1_001_TX_2,2016-02-27,1,3.370892053770129,1
HOBBIES_1_001_TX_3,2016-02-27,1,3.65942298298337,3
HOBBIES_1_001_WI_1,2016-02-27,1,2.5057953096317123,1
HOBBIES_1_001_WI_2,2016-02-27,1,0.28310446170858883,0
HOBBIES_1_001_WI_3,2016-02-27,1,1.803085250609496,4
HOBBIES_1_002_CA_1,2016-02-27,1,1.9818482725341033,1
HOBBIES_1_002_CA_2,2016-02-27,1,0.4318693409852893,1
HOBBIES_1_002_CA_3,2016-02-27,1,1.9842097571202177,1
HOBBIES_1_002_CA_4,2016-02-27,1,0.08704917711146185,2
HOBBIES_1_002_TX_1,2016-02-27,1,0.16171616090140423,1
HOBBIES_1_002_TX_2,2016-02-27,1,1.453002541582102,0
HOBBIES_1_002_TX_3,2016-02-27,1,0.07633811750641459,0
HOBBIES_1_002_WI_1,2016-02-27,1,6.399991129457337,4
HOBBIES_1_002_WI_2,2016-02-27,1,4.8411590934270645,5
HOBBIES_1_002_WI_3,2016-02-27,1,2.6245768051731186,3
HOBBIES_1_003_CA_1,2016-02-27,1,2.673806562664268,0
HOBBIES_1_003_CA_2,2016-02-27,1,3.823711848039143,3
HOBBIES_1_003_CA_3,2016-02-27,1,2.0762650753031164,3
HOBBIES_1_003_CA_4,2016-02-27,1,0.9961304414062441,2
HOBBIES_1_003_TX_1,2016-02-27,1,0.8468609559855065,0
HOBBIES_1_003_TX_2,2016-02-27,1,1.303359992512511,1
HOBBIES_1_003_TX_3,2016-02-27,1,1.5305071799293777,0
HOBBIES_1_003_WI_1,2016-02-27,1,1.9991992052626977,5
HOBBIES_1_003_WI_2,2016-02-27,1,1.7557884298319804,1
HOBBIES_1_003_WI_3,2016-02-27,1,1.2900272003990139,0
HOBBIES_1_004_CA_1,2016-02-27,1,15.071635374160158,7
HOBBIES_1_004_CA_2,2016-02-27,1,20.44230087929488,13
HOBBIES_1_004_CA_3,2016-02-27,1,38.79510514550685,41
HOBBIES_1_004_CA_4,2016-02-27,1,5.675228602976886,7
HOBBIES_1_004_TX_1,2016-02-27,1,4.444803573334165,9
HOBBIES_1_004_TX_2,2016-02-27,1,6.696033151427352,5
HOBBIES_1_004_TX_3,2016-02-27,1,6.809761190679909,0
HOBBIES_1_004_WI_1,2016-02-27,1,3.256810520451453,2
HOBBIES_1_004_WI_2,2016-02-27,1,5.1622454448315,4
HOBBIES_1_004_WI_3,2016-02-27,1,16.945265165943994,13
HOBBIES_1_005_CA_1,2016-02-27,1,8.029765705629288,6
HOBBIES_1_005_CA_2,2016-02-27,1,10.202575534100342,15
HOBBIES_1_005_CA_3,2016-02-27,1,10.898405865895585,10
HOBBIES_1_005_CA_4,2016-02-27,1,11.81711124143185,11
HOBBIES_1_005_TX_1,2016-02-27,1,5.402321541343915,7
HOBBIES_1_005_TX_2,2016-02-27,1,4.250594420184416,2
HOBBIES_1_005_TX_3,2016-02-27,1,3.9738907949607962,1
HOBBIES_1_005_WI_1,2016-02-27,1,5.573173949339174,12
HOBBIES_1_005_WI_2,2016-02-27,1,3.661264738581505,4
HOBBIES_1_005_WI_3,2016-02-27,1,3.015141010992032,4
HOBBIES_1_006_CA_1,2016-02-27,1,7.104500530827177,4
HOBBIES_1_006_CA_2,2016-02-27,1,5.232831828763057,5
HOBBIES_1_006_CA_3,2016-02-27,1,7.567539643576218,13
HOBBIES_1_006_CA_4,2016-02-27,1,0.33520826037257756,0
HOBBIES_1_006_TX_1,2016-02-27,1,3.292888605470403,4
HOBBIES_1_006_TX_2,2016-02-27,1,1.732020269144674,9
HOBBIES_1_006_TX_3,2016-02-27,1,1.983985913876134,2
HOBBIES_1_006_WI_1,2016-02-27,1,16.356748308906674,17
HOBBIES_1_006_WI_2,2016-02-27,1,8.011683435725296,14
HOBBIES_1_006_WI_3,2016-02-27,1,4.742670575126149,5
HOBBIES_1_007_CA_1,2016-02-27,1,2.2484555571306704,2
HOBBIES_1_007_CA_2,2016-02-27,1,1.9141781619483893,2
HOBBIES_1_007_CA_3,2016-02-27,1,1.7317616187624008,2
HOBBIES_1_007_CA_4,2016-02-27,1,2.252063503538009,5
HOBBIES_1_007_TX_1,2016-02-27,1,2.21163072450075,1
HOBBIES_1_007_TX_2,2016-02-27,1,1.3001218674673383,1
HOBBIES_1_007_TX_3,2016-02-27,1,1.6827130862361837,3
HOBBIES_1_007_WI_1,2016-02-27,1,3.357306270439819,4
HOBBIES_1_007_WI_2,2016-02-27,1,1.9948762673516596,1
HOBBIES_1_007_WI_3,2016-02-27,1,1.5692806442181029,1
HOBBIES_1_008_CA_1,2016-02-27,1,87.10010494674623,17
HOBBIES_1_008_CA_2,2016-02-27,1,31.65929527212193,66
HOBBIES_1_008_CA_3,2016-02-27,1,46.29535605043194,0
HOBBIES_1_008_CA_4,2016-02-27,1,17.68044602441214,39
HOBBIES_1_008_TX_1,2016-02-27,1,1.1852033322090665,0
HOBBIES_1_008_TX_2,2016-02-27,1,28.337208275424423,9
HOBBIES_1_008_TX_3,2016-02-27,1,14.52468700967299,6
HOBBIES_1_008_WI_1,2016-02-27,1,20.109792135237832,35
HOBBIES_1_008_WI_2,2016-02-27,1,18.069285622688405,33
HOBBIES_1_008_WI_3,2016-02-27,1,19.106869061110956,21
HOBBIES_1_009_CA_1,2016-02-27,1,0.5252539825219298,2
HOBBIES_1_009_CA_2,2016-02-27,1,6.1460136508288175,5
HOBBIES_1_009_CA_3,2016-02-27,1,6.740489187290952,3
HOBBIES_1_009_CA_4,2016-02-27,1,17.967985074231994,22
HOBBIES_1_009_TX_1,2016-02-27,1,3.436075048040104,7
HOBBIES_1_009_TX_2,2016-02-27,1,4.738205436871417,5
HOBBIES_1_009_TX_3,2016-02-27,1,2.156357889176826,6
HOBBIES_1_009_WI_1,2016-02-27,1,5.453274432088406,5
HOBBIES_1_009_WI_2,2016-02-27,1,1.2623092828359852,2
HOBBIES_1_009_WI_3,2016-02-27,1,1.3987464979712259,2
HOBBIES_1_010_CA_1,2016-02-27,1,4.616970177027513,3
HOBBIES_1_010_CA_2,2016-02-27,1,0.659224538378886,0
HOBBIES_1_010_CA_3,2016-02-27,1,5.041250356510983,1
HOBBIES_1_010_CA_4,2016-02-27,1,1.015858677163807,0
HOBBIES_1_010_TX_1,2016-02-27,1,4.088425305622015,6
HOBBIES_1_010_TX_2,2016-02-27,1,4.802649289919489,4
HOBBIES_1_010_TX_3,2016-02-27,1,4.158898379842041,3
HOBBIES_1_010_WI_1,2016-02-27,1,3.6413611118900886,5
HOBBIES_1_010_WI_2,2016-02-27,1,2.2915155021190072,0
HOBBIES_1_010_WI_3,2016-02-27,1,3.105793220829248,3
HOUSEHOLD_1_001_CA_1,2016-02-27,1,5.434734602437478,2
HOUSEHOLD_1_001_CA_2,2016-02-27,1,3.1908870372893885,4
HOUSEHOLD_1_001_CA_3,2016-02-27,1,2.232584093275514,4
HOUSEHOLD_1_001_CA_4,2016-02-27,1,3.4636359002648414,0
HOUSEHOLD_1_001_TX_1,2016-02-27,1,2.3695888419443327,2
HOUSEHOLD_1_001_TX_2,2016-02-27,1,1.9900231415914997,0
HOUSEHOLD_1_001_TX_3,2016-02-27,1,1.9328325925674763,2
HOUSEHOLD_1_001_WI_1,2016-02-27,1,10.25715724605278,5
HOUSEHOLD_1_001_WI_2,2016-02-27,1,1.8915634898377283,0
HOUSEHOLD_1_001_WI_3,2016-02-27,1,2.574887013986848,3
HOUSEHOLD_1_002_CA_1,2016-02-27,1,1.893102024306762,0
HOUSEHOLD_1_002_CA_2,2016-02-27,1,4.933754455771337,8
HOUSEHOLD_1_002_CA_3,2016-02-27,1,6.453189123670413,3
HOUSEHOLD_1_002_CA_4,2016-02-27,1,5.834999837739203,5
HOUSEHOLD_1_002_TX_1,2016-02-27,1,2.9425672053820953,0
HOUSEHOLD_1_002_TX_2,2016-02-27,1,4.408967691411634,4
HOUSEHOLD_1_002_TX_3,2016-02-27,1,2.174176194721008,0
HOUSEHOLD_1_002_WI_1,2016-02-27,1,11.166372058523278,11
HOUSEHOLD_1_002_WI_2,2016-02-27,1,4.261238814909747,5
HOUSEHOLD_1_002_WI_3,2016-02-27,1,2.2419761982959945,3
HOUSEHOLD_1_003_CA_1,2016-02-27,1,5.237434059962047,6
HOUSEHOLD_1_003_CA_2,2016-02-27,1,8.32866029201005,6
HOUSEHOLD_1_003_CA_3,2016-02-27,1,16.469393530475283,17
